match_name,team_a,team_b,entry_index,raw_minute,minute,event_type,acting_team,base_weight,urgency,weight,text
Argentina_vs_Austria,Argentina,Austria,0,,,pre_match,neutral,0,0.153,0.0,Lineups are announced and players are warming up.
Argentina_vs_Austria,Argentina,Austria,1,,,kickoff,neutral,0,0.0,0.0,First Half begins.
Argentina_vs_Austria,Argentina,Austria,2,2',2.0,offside,Argentina,1,0.0,1.0,"Offside, Argentina. Thiago Almada is caught offside."
Argentina_vs_Austria,Argentina,Austria,3,4',4.0,injury_delay,Argentina,0,0.625,0.0,Delay in match because of an injury Lautaro Martínez (Argentina).
Argentina_vs_Austria,Argentina,Austria,4,4',4.0,penalty_awarded,Argentina,5,0.718,8.592,Penalty Argentina. Lautaro Martínez draws a foul in the penalty area.
Argentina_vs_Austria,Argentina,Austria,5,4',4.0,penalty_conceded,Austria,5,0.718,8.592,Penalty conceded by Stefan Posch (Austria) after a foul in the penalty area.
Argentina_vs_Austria,Argentina,Austria,6,7',7.0,VAR,Argentina,4,0.459,5.835,VAR Decision: Penalty Argentina.
Argentina_vs_Austria,Argentina,Austria,7,9',9.0,penalty_miss,Argentina,7,0.606,11.241,"PEN
Penalty missed. Lionel Messi (Argentina) left footed shot is close, but misses to the right."
Argentina_vs_Austria,Argentina,Austria,8,10',10.0,free_kick_won,Argentina,1,0.796,1.796,Facundo Medina (Argentina) wins a free kick in the defensive half.
Argentina_vs_Austria,Argentina,Austria,9,10',10.0,foul,Austria,1,0.0,1.0,Foul by Romano Schmid (Austria).
Argentina_vs_Austria,Argentina,Austria,10,11',11.0,foul,Argentina,1,0.0,1.0,Foul by Lisandro Martínez (Argentina).
Argentina_vs_Austria,Argentina,Austria,11,11',11.0,free_kick_won,Austria,1,0.612,1.612,Michael Gregoritsch (Austria) wins a free kick in the attacking half.
Argentina_vs_Austria,Argentina,Austria,12,14',14.0,free_kick_won,Austria,1,0.791,1.791,Paul Wanner (Austria) wins a free kick on the left wing.
Argentina_vs_Austria,Argentina,Austria,13,16',16.0,handball,Austria,2,0.0,2.0,Handball by Romano Schmid (Austria).
Argentina_vs_Austria,Argentina,Austria,14,18',18.0,free_kick_won,Argentina,1,0.796,1.796,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.
Argentina_vs_Austria,Argentina,Austria,15,21',21.0,injury_delay,Argentina,0,0.625,0.0,Delay in match because of an injury Rodrigo De Paul (Argentina).
Argentina_vs_Austria,Argentina,Austria,16,21',21.0,delay,Austria,0,0.318,0.0,Delay in match (Austria).
Argentina_vs_Austria,Argentina,Austria,17,21',21.0,free_kick_won,Austria,1,0.796,1.796,Konrad Laimer (Austria) wins a free kick in the defensive half.
Argentina_vs_Austria,Argentina,Austria,18,23',23.0,corner,Austria,2,0.0,2.0,"Corner, Austria. Conceded by Cristian Romero."
